,file,urls,pid
0,/home/cuckoo/.cuckoo/storage/analyses/18/memory/144-1.dmp,http://www.expedia.com/favicon.ico,144
1,/home/cuckoo/.cuckoo/storage/analyses/18/memory/644-1.dmp,http://uk.ask.com/favicon.ico,644
2,/home/cuckoo/.cuckoo/storage/analyses/18/memory/1376-1.dmp,http://www.priceminister.com/,1376
3,/home/cuckoo/.cuckoo/storage/analyses/18/memory/1744-1.dmp,http://www.iask.com/favicon.ico,1744
4,/home/cuckoo/.cuckoo/storage/analyses/18/memory/1908-1.dmp,http://www.merlin.com.pl/favicon.ico,1908
5,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2020-1.dmp,http://www.cnet.com/favicon.ico,2020
6,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2020-2.dmp,http://search.nifty.com/,2020
7,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2144-1.dmp,http://ns.adobe.com/exif/1.0/,2144
8,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2368-1.dmp,http://www.etmall.com.tw/,2368
9,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2536-1.dmp,http://search.goo.ne.jp/,2536
10,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2564-1.dmp,http://fr.wikipedia.org/favicon.ico,2564
11,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2660-1.dmp,http://busca.estadao.com.br/favicon.ico,2660
12,/home/cuckoo/.cuckoo/storage/analyses/18/memory/2860-1.dmp,http://search.hanafos.com/favicon.ico,2860
13,/home/cuckoo/.cuckoo/storage/analyses/18/memory/3056-1.dmp,http://search.chol.com/favicon.ico,3056
